id,Full Name,Phone,Email,Age,Experience,Yearly Income,Has children,License states,Expiration date,License number,Duplicate with
1,1,+12756919775,adonat0@typepad.com,60,31,5481.4,false,Karangranjong,02-May-2021,MFV123,
2,Vanni Grigson ,+238 557 491 3835,vgrigson1@360.cn,32.1,9,3978.8,false,Vila do Maio,06/04/2021,JYN1212T,
3, Almeria Betteridge,138945994794,abetteridge2@naver.com,21,1,113.9,true,Kumanovo,22/33/2021,GS^J,
4,Sandie Crombie,+12756919775,scrombie3@goo.ne.jp,55,19,6151.378,true,Al Judayrah,31-Jul-2020,SUN123,
5,Lyndel Antuk,+970 520 840 7246,lantuk4@google.nl,48,8,6250.8,true,Goias,05-Dec-2020,AXARU,
6,Hunfredo Whelband,+55 135 819 5257,hwhelband5@wired.com,33,0,2805.5,true,Capitao,03-Jul-2020,B212CO,
7,Sabina Dallander,+238 557 491 3835,sdallander6@google.ru,38,11,-7709.9,false,Auxerre,27-Nov-2020,RAS^Ak1,
8,Cybil Stredder,+5105407361,csTredder7@comcast.net,57,36,7777.0,true,Shirokaya,2021-06-04,123mk9,
9,Lida Addekin,12284247569,laddekin8@eventbrite.com,17,7,2399,truen,Tampekan|Alabama|Monaco,11/04/2022,CTBI12,
10,Consuelo Izakovitz,+15105407361,cstredder7@comcast.nEt,31,61,3344.0,,Catende|Al,28-Dec-2020,SLIM12,
